ID_code;id_name;Sartoretto_TS_group;Sartoretto_TS_group_etendu;Sartoretto_CS_group;Sartoretto_CS_group_etendu;Taxon_level;ID_major_category;major_category;gender_name;Species;Gender;Family;Order;Class;Phylum;Not_concerned;major_builders_old;Builders_all;Builders_nobryo;LSP;PSP;MSP;AXSP;COSP
ACAC;Acanthella acuta;4;4;basal;basal;Species;S;Sponge;Acanthella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACET;Acetabularia acetabulum;;;;intermediate;Species;GM;Green macroalgae;Acetabularia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACTI;Actiniaria;;;basal;basal;Order;A;Actiniaria;NC;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
ADC;Adeonella calveti;4;4;intermediate;intermediate;Species;EBR;Erected bryozoan;Adeonella;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
AGOR;Agelas oroides;3;3;upper;upper;Species;S;Sponge;Agelas;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AIMU;Aiptasia mutabilis;;;basal;basal;Species;A;Actiniaria;Aiptasia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALAC;Alcyonium acaule;2;2;intermediate;intermediate;Species;AL;Alcyonaria;Alcyonium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALC;Alcynonarian;2;2;intermediate;intermediate;Order;AL;Alcyonaria;NC;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
ALCO;Alcyonium corraloides;2;2;basal;basal;Species;AL;Alcyonaria;Alcyonium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALDI;Alcyonium digitatum;2;2;intermediate;intermediate;Species;AL;Alcyonaria;Alcyonium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALGL;Alcyonium glomeratum;2;2;intermediate;intermediate;Species;AL;Alcyonaria;Alcyonium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALMI;Alicia mirabilis;;;upper;upper;Species;A;Actiniaria;Alicia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMSP;Amphiroa sp;;;intermediate;intermediate;Gender;EMA;Erected red macroalgae;Amphiroa;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
